paraquestion,SQL,Header
What is the player when the figure is source: last updated: 28 June 2007?,select Player where Figures eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is player when opponent is source: last updated: 28 June 2007?,select Player where Opponent eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is a player when the opponent is source: last updated: 28 June 2007?,select Player where Opponent eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is the player when the opponent is source: last updated: 28 June 2007?,select Player where Opponent eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
"For the match played on 7 January 1956, with the away team of Accrington Stanley, who was the home team?",select Home team where Date eq 7 january 1956 and Away team eq accrington stanley ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
"For the match played on 7 January 1956 with the away team of Accrington Stanley, who was the home team?",select Home team where Date eq 7 january 1956 and Away team eq accrington stanley ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
"For the match played on January 7th, 1956, with the away team of Accrington Stanley, who was the home team?",select Home team where Date eq 7 january 1956 and Away team eq accrington stanley ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
Which tie number had Fulham as the away team?,select Tie no where Away team eq fulham ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
Which tie number had Middlesbrough as the away team?,select Tie no where Away team eq middlesbrough ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
On what day was tied #29 played?,select Date where Tie no eq 29 ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
On what day was tie #29 played?,select Date where Tie no eq 29 ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
"Which tie number was played on January 9th, 1956?",select Tie no where Date eq 9 january 1956 ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
"Which tie number was played on January 9, 1956?",select Tie no where Date eq 9 january 1956 ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
What is the tie number for the match that had away team Scunthorpe & Lindsey United?,select Tie no where Away team eq scunthorpe & lindsey united ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
What is the tie number for the match that had the away team of Scunthorpe & Lindsey United?,select Tie no where Away team eq scunthorpe & lindsey united ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
What is the tie number for the match that had away team of Scunthorpe & Lindsey United?,select Tie no where Away team eq scunthorpe & lindsey united ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
WHAT IS THE PLACE WITH A SCORE OF 76-69-64-70 = 279?,select Place where Score eq 76-69-64-70=279 ,"['Place', 'Player', 'Country', 'Score', 'To par', 'Money ( $ )']"
WHAT IS THE PLACE WITH A SCORE OF 73-65-73-71 = 282?,select Place where Score eq 73-65-73-71=282 ,"['Place', 'Player', 'Country', 'Score', 'To par', 'Money ( $ )']"
WHAT IS TO PAR FOR ERNIE ELS?,select To par where Player eq ernie els ,"['Place', 'Player', 'Country', 'Score', 'To par', 'Money ( $ )']"
WHAT IS THE PLACE WITH THE SCORE 69-71-66-73 = 279?,select Place where Score eq 69-71-66-73=279 ,"['Place', 'Player', 'Country', 'Score', 'To par', 'Money ( $ )']"
What was the winning score at the Burdine Invitational?,select Winning score where Tournament eq burdine's invitational ,"['Date', 'Tournament', 'Winning score', 'Margin of victory', 'Runner(s)-up']"
Who was the runner-up when the winning score is +3 (69-70-71-77 = 287)?,select Runner(s)-up where Winning score eq +3 (69-70-71-77=287) ,"['Date', 'Tournament', 'Winning score', 'Margin of victory', 'Runner(s)-up']"
Which tournament has a winning score of –7 (66-72-69-74=281)?,select Tournament where Winning score eq –7 (66-72-69-74=281) ,"['Date', 'Tournament', 'Winning score', 'Margin of victory', 'Runner(s)-up']"
Which tournament has a winning score of –7 (66-72-69-74 = 281)?,select Tournament where Winning score eq –7 (66-72-69-74=281) ,"['Date', 'Tournament', 'Winning score', 'Margin of victory', 'Runner(s)-up']"
On what date is Jerilyn Britz runner-up?,select Date where Runner(s)-up eq jerilyn britz ,"['Date', 'Tournament', 'Winning score', 'Margin of victory', 'Runner(s)-up']"
On what date is the winning score – 8 (70-71-67=208)?,select Date where Winning score eq –8 (70-71-67=208) ,"['Date', 'Tournament', 'Winning score', 'Margin of victory', 'Runner(s)-up']"
On what date is the winning score – 8 (70-71-67 = 208)?,select Date where Winning score eq –8 (70-71-67=208) ,"['Date', 'Tournament', 'Winning score', 'Margin of victory', 'Runner(s)-up']"
"What is Matches when the year is ""2003""?",select Matches where Year eq 2003 ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is Matches when year is ""2003""?",select Matches where Year eq 2003 ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is Draws when Losses is ""Did Not Qualify""?",select Draws where Losses eq did not qualify ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is Draws when Losses is ""did not qualify""?",select Draws where Losses eq did not qualify ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is the result when Losses is ""did not qualify""?",select Result where Losses eq did not qualify ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is the result when Losses ""did not qualify""?",select Result where Losses eq did not qualify ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is Result when Losses ""did not qualify""?",select Result where Losses eq did not qualify ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is the year when Wins is ""0""?",select Year where Wins eq 0 ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is year when Wins is ""0""?",select Year where Wins eq 0 ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is Draws when Wins is ""Did Not Qualify""?",select Draws where Wins eq did not qualify ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is Matches, when Draws is ""Did Not Qualify"" and when Year is ""1995""?",select Matches where Draws eq did not qualify and Year eq 1995 ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
"What is Matches, when Draws is ""Did Not Qualify"" and when the year is ""1995""?",select Matches where Draws eq did not qualify and Year eq 1995 ,"['Year', 'Result', 'Matches', 'Wins', 'Draws', 'Losses']"
Which date has a score of 112–118?,select Date where Score eq 112–118 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which date has a score of 112 – 118?,select Date where Score eq 112–118 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which record has a score of 111–101?,select Record where Score eq 111–101 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which record has a score of 111 – 101?,select Record where Score eq 111–101 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which game has a score of 122–125?,select Game where Score eq 122–125 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which game has a score of 122 – 125?,select Game where Score eq 122–125 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which Streak has a game of 3?,select Streak where Game eq 3 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which streak has a game of 3?,select Streak where Game eq 3 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which score has a record of 1–3?,select Score where Record eq 1–3 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
Which score has a record of 1 – 3?,select Score where Record eq 1–3 ,"['Game', 'Date', 'Team', 'Score', 'Record', 'Streak']"
How many totals had a silver greater than 2?,select COUNT(Total) where Silver lt 2 ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
What was the average bronze when gold was larger than 1 and silver was bigger than 2?,select AVG(Bronze) where Gold lt 1 and Silver lt 2 ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
What was the college team of the player whose former WNBA team was Cleveland Rockers?,select College/Country/Team where Former WNBA Team eq cleveland rockers ,"['Pick', 'Player', 'Nationality', 'New WNBA Team', 'Former WNBA Team', 'College/Country/Team']"
Which nationality was the player whose college team was Georgia Tech?,select Nationality where College/Country/Team eq georgia tech ,"['Pick', 'Player', 'Nationality', 'New WNBA Team', 'Former WNBA Team', 'College/Country/Team']"
What was the new WNBA team selected by the player with a pick over 7?,select New WNBA Team where Pick lt 7 ,"['Pick', 'Player', 'Nationality', 'New WNBA Team', 'Former WNBA Team', 'College/Country/Team']"
Which player had a pick under 6 and a new WNBA team from the Minnesota Lynx?,select Player where Pick gt 6 and New WNBA Team eq minnesota lynx ,"['Pick', 'Player', 'Nationality', 'New WNBA Team', 'Former WNBA Team', 'College/Country/Team']"
What country plays Billy Ray Brown?,select Country where Player eq billy ray brown ,"['Place', 'Player', 'Country', 'Score', 'To par']"
Billy Ray Brown plays for which country?,select Country where Player eq billy ray brown ,"['Place', 'Player', 'Country', 'Score', 'To par']"
What score has the country of Spain?,select Score where Country eq spain ,"['Place', 'Player', 'Country', 'Score', 'To par']"
The golfer from the United States with a score of 72-70-69=211 is in what place?,select Place where Country eq united states and Score eq 72-70-69=211 ,"['Place', 'Player', 'Country', 'Score', 'To par']"
What is the golfer from the United States with a score of 72-70-69=211?,select Place where Country eq united states and Score eq 72-70-69=211 ,"['Place', 'Player', 'Country', 'Score', 'To par']"
The golfer from the United States with a score of 72-70-69 = 211 is in what place?,select Place where Country eq united states and Score eq 72-70-69=211 ,"['Place', 'Player', 'Country', 'Score', 'To par']"
Golfer Jeff Sluman golfs for what country?,select Country where Player eq jeff sluman ,"['Place', 'Player', 'Country', 'Score', 'To par']"
The golfer Jeff Sluman golfs for which country?,select Country where Player eq jeff sluman ,"['Place', 'Player', 'Country', 'Score', 'To par']"
Mike Reid of the United States has what score?,select Score where Country eq united states and Player eq mike reid ,"['Place', 'Player', 'Country', 'Score', 'To par']"
What score has Mike Reid from the United States?,select Score where Country eq united states and Player eq mike reid ,"['Place', 'Player', 'Country', 'Score', 'To par']"
Which player has 71-72-66=209 as the score?,select Player where Score eq 71-72-66=209 ,"['Place', 'Player', 'Country', 'Score', 'To par']"
What to par has 7 as place?,select To par where Place eq 7 ,"['Place', 'Player', 'Country', 'Score', 'To par']"
Which player has 72-67-71=210 as the score?,select Player where Score eq 72-67-71=210 ,"['Place', 'Player', 'Country', 'Score', 'To par']"
"What to par has t5 as the place, with Larry mize as the player?",select To par where Place eq t5 and Player eq larry mize ,"['Place', 'Player', 'Country', 'Score', 'To par']"
Which player has t5 as the place?,select Player where Place eq t5 ,"['Place', 'Player', 'Country', 'Score', 'To par']"
What score has fred couples as a player?,select Score where Player eq fred couples ,"['Place', 'Player', 'Country', 'Score', 'To par']"
What score has fred couples as player?,select Score where Player eq fred couples ,"['Place', 'Player', 'Country', 'Score', 'To par']"
On what date in Stade Leopold Senghor was Dakar the score 4–0?,"select Date where Score eq 4–0 and Venue eq stade leopold senghor, dakar ","['Date', 'Venue', 'Score', 'Result', 'Competition']"
On what date in Stade Leopold Senghor was Dakar 4–0?,"select Date where Score eq 4–0 and Venue eq stade leopold senghor, dakar ","['Date', 'Venue', 'Score', 'Result', 'Competition']"
Who has the highest assists on April 28?,select High assists where Date eq april 28 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What was the name of the Olympiacos player in 2008?,select Name where 2008 club eq olympiacos ,"['Name', 'Height', 'Weight', 'Spike', '2008 club']"
What was the name of the 2008 Olympiacos player?,select Name where 2008 club eq olympiacos ,"['Name', 'Height', 'Weight', 'Spike', '2008 club']"
Who played for the Olympiacos in 2008?,select Name where 2008 club eq olympiacos ,"['Name', 'Height', 'Weight', 'Spike', '2008 club']"
What are points when the series is Queensland Formula Ford Championship and when position is 1st?,select Points where Series eq queensland formula ford championship and Position eq 1st ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
"What is Points, when the series is Queensland Formula Ford Championship and when position is 1st?",select Points where Series eq queensland formula ford championship and Position eq 1st ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
What is Points when the series is Queensland Formula Ford Championship and when position is 1st?,select Points where Series eq queensland formula ford championship and Position eq 1st ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
"What is driver, when position is 2nd and when season is 2001?",select Driver where Position eq 2nd and Season eq 2001 ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
"What is the driver, when position is 2nd and when season is 2001?",select Driver where Position eq 2nd and Season eq 2001 ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
What is a driver when position is 2nd and when season is 2001?,select Driver where Position eq 2nd and Season eq 2001 ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
"What is the position when the series is Queensland Formula Ford Championship, when the season is after 2001 and when the points is 234?",select Position where Series eq queensland formula ford championship and Season lt 2001 and Points eq 234 ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
"What is the position when the series is Queensland Formula Ford Championship, when the season is after 2001 and when points is 234?",select Position where Series eq queensland formula ford championship and Season lt 2001 and Points eq 234 ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
What is a series when the 2007 season is?,select Series where Season eq 2007 ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
What is a series when the season is 2007?,select Series where Season eq 2007 ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
"What is a series, when the season is 2007?",select Series where Season eq 2007 ,"['Season', 'Series', 'Points', 'Position', 'Driver']"
"What was the attendance on September 26, 1971?","select AVG(Attendance) where Date eq september 26, 1971 ","['Week', 'Date', 'Opponent', 'Result', 'Attendance']"
What was the attendance on 26 September 1971?,"select AVG(Attendance) where Date eq september 26, 1971 ","['Week', 'Date', 'Opponent', 'Result', 'Attendance']"
"Who was the opponent before week 12 on November 11, 1990?","select Opponent where Week gt 12 and Date eq november 11, 1990 ","['Week', 'Date', 'Opponent', 'Result', 'Attendance']"
"Who was the opponent before Week 12 on November 11, 1990?","select Opponent where Week gt 12 and Date eq november 11, 1990 ","['Week', 'Date', 'Opponent', 'Result', 'Attendance']"
"Which date had attendance of 76,518?","select Date where Attendance eq 76,518 ","['Week', 'Date', 'Opponent', 'Result', 'Attendance']"
What was the attendance of the game that ended with L 31-0?,select Attendance where Result eq l 31-0 ,"['Week', 'Date', 'Opponent', 'Result', 'Attendance']"
What was the attendance of the game that ended L 31-0,select Attendance where Result eq l 31-0 ,"['Week', 'Date', 'Opponent', 'Result', 'Attendance']"
What is the year for Morocco?,select MAX(Year) where Country eq morocco ,"['Continent', 'Structure', 'Height', 'Year', 'Country']"
What year is the United Arab Emirates?,select COUNT(Year) where Country eq united arab emirates ,"['Continent', 'Structure', 'Height', 'Year', 'Country']"
What year was Mercury City Tower?,select MIN(Year) where Structure eq mercury city tower ,"['Continent', 'Structure', 'Height', 'Year', 'Country']"
What is the structure in Chile?,select Structure where Country eq chile ,"['Continent', 'Structure', 'Height', 'Year', 'Country']"
What season 2007-08 has marcianise as the city?,select 2007–08 season where City eq marcianise ,"['Club', 'City', 'Stadium', 'Capacity', '2007–08 season']"
What season 2007-08 has marcianise as city?,select 2007–08 season where City eq marcianise ,"['Club', 'City', 'Stadium', 'Capacity', '2007–08 season']"
What is the highest capacity for the 2007-08 season that has serie c2/c champions?,select MAX(Capacity) where 2007–08 season eq serie c2/c champions ,"['Club', 'City', 'Stadium', 'Capacity', '2007–08 season']"
What is the average capacity that has foligno as a city?,select AVG(Capacity) where City eq foligno ,"['Club', 'City', 'Stadium', 'Capacity', '2007–08 season']"
What is the average capacity that foligno has as the city?,select AVG(Capacity) where City eq foligno ,"['Club', 'City', 'Stadium', 'Capacity', '2007–08 season']"
What is the highest capacity that has stadio marcello torre as a stadium?,select MAX(Capacity) where Stadium eq stadio marcello torre ,"['Club', 'City', 'Stadium', 'Capacity', '2007–08 season']"
"What is the score for the game where Birmingham City was the home team on March 10, 1984?",select Score where Date eq 10 march 1984 and Home team eq birmingham city ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
"What is the score for the game in which Birmingham City was the home team on March 10, 1984?",select Score where Date eq 10 march 1984 and Home team eq birmingham city ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
"What is the score for the game where Birmingham City was the home team on March 10th, 1984?",select Score where Date eq 10 march 1984 and Home team eq birmingham city ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
Who played Derby County away team?,select Home team where Away team eq derby county ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
Who is the home team that tied No 2?,select Home team where Tie no eq 2 ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
Who is the home team that tied number 2?,select Home team where Tie no eq 2 ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
Was the score of the game when Sheffield Wednesday was the home team?,select Score where Home team eq sheffield wednesday ,"['Tie no', 'Home team', 'Score', 'Away team', 'Date']"
Which years did the player from Providence play as a small forward for the Grizzlies?,select Years for Grizzlies where Position eq small forward and School/Club Team eq providence ,"['Player', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
Which years did the Providence player play as a small forward for the Grizzlies?,select Years for Grizzlies where Position eq small forward and School/Club Team eq providence ,"['Player', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What is the nationality of the Stromile Swift?,select Nationality where Player eq stromile swift ,"['Player', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
Which years played the player from Providence for Memphis?,select Years for Grizzlies where School/Club Team eq providence ,"['Player', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
Which team has a 7-1 record?,select Opponent where Record eq 7-1 ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
What game number was the first game played at Summit this season?,select MIN(Game) where Location eq the summit ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
What was the final score for the game against the New York Knicks?,select Score where Opponent eq new york knicks ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
What is the record of the opposing team for the game played at Boston Garden with a score of 118-110?,select Record where Location eq boston garden and Score eq 118-110 ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
What is the record of the opposing team for the game played in Boston Garden with a score of 118-110?,select Record where Location eq boston garden and Score eq 118-110 ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
"What is the finish when the year(s) won is ""1962, 1967""?","select Finish where Year(s) won eq 1962 , 1967 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is finish when the year(s) won is ""1962, 1967""?","select Finish where Year(s) won eq 1962 , 1967 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is a player, when Par is greater than 6 and when the year(s) won is ""1962, 1967""?","select Player where To par lt 6 and Year(s) won eq 1962 , 1967 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is the player, when Par is greater than 6 and when the year(s) won is ""1962, 1967""?","select Player where To par lt 6 and Year(s) won eq 1962 , 1967 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is a player when Par is greater than 6 and when the year(s) won is ""1962, 1967""?","select Player where To par lt 6 and Year(s) won eq 1962 , 1967 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is Finish, when Par is less than 14 and when the year(s) won is ""1952, 1963""?","select Finish where To par gt 14 and Year(s) won eq 1952 , 1963 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is Finish when Par is less than 14 and when the year(s) won is ""1952, 1963""?","select Finish where To par gt 14 and Year(s) won eq 1952 , 1963 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is the highest to par, when the year(s) won is ""1962, 1967""?","select MAX(To par) where Year(s) won eq 1962 , 1967 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is the highest to par when the year(s) won is ""1962, 1967""?","select MAX(To par) where Year(s) won eq 1962 , 1967 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is the highest to Par, when the year(s) won is ""1962, 1967""?","select MAX(To par) where Year(s) won eq 1962 , 1967 ","['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is the total when To Par is less than 14, when Finish is T12 and when Player is ""Julius Boros""?",select Total where To par gt 14 and Finish eq t12 and Player eq julius boros ,"['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
"What is the total when To Par is less than 14, when Finish is T12 and when the player is ""Julius Boros""?",select Total where To par gt 14 and Finish eq t12 and Player eq julius boros ,"['Player', 'Country', 'Year(s) won', 'Total', 'To par', 'Finish']"
What is the highest number of artists in Scarface?,select MAX(Number) where Artist eq scarface ,"['Number', 'Artist', 'Album', 'Average score', 'Number of reviews']"
What is the average number for black milk?,select AVG(Number) where Artist eq black milk ,"['Number', 'Artist', 'Album', 'Average score', 'Number of reviews']"
What is the lowest average for Number 2?,select MIN(Average score) where Number eq 2 ,"['Number', 'Artist', 'Album', 'Average score', 'Number of reviews']"
What is the highest score for black milk?,select MAX(Average score) where Artist eq black milk ,"['Number', 'Artist', 'Album', 'Average score', 'Number of reviews']"
What surface was played when Piet Norval was a partner?,select Surface where Partner eq piet norval ,"['Outcome', 'Year', 'Championship', 'Surface', 'Partner', 'Opponents in the final', 'Score in the final']"
What surface was played on when they were a runner-up in 2007?,select Surface where Outcome eq runner-up and Year eq 2007 ,"['Outcome', 'Year', 'Championship', 'Surface', 'Partner', 'Opponents in the final', 'Score in the final']"
What surface was played when they were a runner-up in 2007?,select Surface where Outcome eq runner-up and Year eq 2007 ,"['Outcome', 'Year', 'Championship', 'Surface', 'Partner', 'Opponents in the final', 'Score in the final']"
What is Goals when Assists is greater than 28 and when the player is Steve Walker?,select Goals where Assists lt 28 and Player eq steve walker ,"['Player', 'Club', 'Games', 'Goals', 'Assists', 'Points']"
"What is Goals, when Assists is greater than 28 and when the player is Steve Walker?",select Goals where Assists lt 28 and Player eq steve walker ,"['Player', 'Club', 'Games', 'Goals', 'Assists', 'Points']"
What is the average games when the player is Robert Hock and when the goal is less than 24?,select AVG(Games) where Player eq robert hock and Goals gt 24 ,"['Player', 'Club', 'Games', 'Goals', 'Assists', 'Points']"
What is the average game when the player is Robert Hock and when the goal is less than 24?,select AVG(Games) where Player eq robert hock and Goals gt 24 ,"['Player', 'Club', 'Games', 'Goals', 'Assists', 'Points']"
"What is the average assists when club is Iserlohn Roosters, when points is 71 and when goals is greater than 44?",select AVG(Assists) where Club eq iserlohn roosters and Points eq 71 and Goals lt 44 ,"['Player', 'Club', 'Games', 'Goals', 'Assists', 'Points']"
"What is the average assists when the club is Iserlohn Roosters, when points is 71 and when goals is greater than 44?",select AVG(Assists) where Club eq iserlohn roosters and Points eq 71 and Goals lt 44 ,"['Player', 'Club', 'Games', 'Goals', 'Assists', 'Points']"
What is the average goals when club is Iserlohn Roosters and when games is less than 56?,select AVG(Goals) where Club eq iserlohn roosters and Games gt 56 ,"['Player', 'Club', 'Games', 'Goals', 'Assists', 'Points']"
What is the average goals when club Iserlohn Roosters and when games is less than 56?,select AVG(Goals) where Club eq iserlohn roosters and Games gt 56 ,"['Player', 'Club', 'Games', 'Goals', 'Assists', 'Points']"
What is the location of the game with a score of 115-105?,select Location where Score eq 115-105 ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
What is the position of the game with a score of 115-105?,select Location where Score eq 115-105 ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
What is the record of the game with a score of 110-106?,select Record where Score eq 110-106 ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
What is the record of the game 48?,select Record where Game eq 48 ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
What is the score at the location of the forum?,select Score where Location eq the forum ,"['Game', 'Date', 'Opponent', 'Score', 'Location', 'Record']"
"What is the method when the location is ""Tokyo, Japan"" and when the event is ""Rings: Millennium Combine 2""?","select Method where Location eq tokyo , japan and Event eq rings: millennium combine 2 ","['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round', 'Location']"
"What is the method when the location is ""Tokyo, Japan"" and the event is ""Rings: Millennium Combine 2""?","select Method where Location eq tokyo , japan and Event eq rings: millennium combine 2 ","['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round', 'Location']"
"What is the method when the opponent is ""Chalid Arrab""?",select Method where Opponent eq chalid arrab ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round', 'Location']"
"What is the method when the opposing is ""Chalid Arrab""?",select Method where Opponent eq chalid arrab ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round', 'Location']"
"What is the sum of the round when the record is ""19-25-5""?",select SUM(Round) where Record eq 19-25-5 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round', 'Location']"
"What is the sum of round when the record is ""19-25-5""?",select SUM(Round) where Record eq 19-25-5 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round', 'Location']"
Which region has Stanford University as a host?,select Region where Host eq stanford university ,"['Region', 'Host', 'Venue', 'City', 'State']"
